City,Data
전체,74.8
서울,80
부산,75.9
대구,75.5
인천,75.1
광주,73.7
대전,74.5
울산,73
세종,81.3
경기,78.3
강원,65.7
충북,69
충남,69.4
전북,68.3
전남,60.9
경북,69.7
경남,72
제주,72.1
