City,Data
전체,71.4
서울,77.2
부산,72.4
대구,73.5
인천,71.9
광주,73.2
대전,68.7
울산,71.1
세종,79.6
경기,73.5
강원,60.2
충북,63.3
충남,68.4
전북,66.4
전남,58.3
경북,66.4
경남,69.8
제주,67.4
