City,Data
전체,61
서울,68.9
부산,62.9
대구,61.5
인천,61.1
광주,59.1
대전,62.5
울산,60.6
세종,63.4
경기,65.1
강원,49
충북,50.5
충남,52
전북,56.1
전남,48.5
경북,53.3
경남,55.7
제주,55.8
